Dog_Name,Breed,Zip
AMY,BOXER MIX,02421
OSCAR,LAB/PIT MIX,02421
ROXIE,RETRIEVER ENGLISH LABRADOR,02421
MADDIE,POODLE TOY,02421
GUS,BEAGLE,02421
JOLIE,HAVANESE,02421
CUBBY,TERRIER YORKSHIRE,02420
KORO,SHIBA INU,02420
RAPHAEL,NEWFOUNDLAND,02420
SUMMER,LABRADOR MIX,02421
DENVER,RETRIEVER LAB MIX,02421
LEXIE,MIX,02421
MEEKO,MIX,02420
BODIE BAREFOOT,LABRADOODLE,02421
LEXIE,HAVANESE,02421
WILLOW,ITALIAN SPINONE,02421
TOMMY,COLLIE BORDER MIX,02421
CHARLIE,RETRIEVER LABRADOR,02421
SCOUT,RETRIEVER FLAT COATED,02420
BAILEY,BEAGLE MIX,02420
MONTIE,MALTESE,02421
ALFRED,COTON DE TULEAR,02420
JOSEPH,COTON DE TULEAR,02420
GENEVIEVE,BASSET,02421
LEXI,LABRADOODLE,02420
HOLLY,POODLE MINI,02420
ATHENA,TERRIER WEST HIGHLAND,02421
DAISY,RETRIEVER LABRADOR,02420
PEBBLES,SPANIEL CAVALIER  KING CHARLES,02420
BUDDY,SPANIEL CAVALIER  KING CHARLES,02420
RILEY,TERRIER YORKSHIRE,02421
LILA,SCHNAUZER MINI,02421
SPENCER,MIX,02420
LEO,LHASA APSO MIX,02421
SAMMY,RETRIEVER MIX,02420
CODY,MIX,02420
TUCKER,RETRIEVER GOLDEN,02421
LEO,HAVANESE,02421
LUNA,GOLDENDOODLE,02420
SHADOW,GOLDENDOODLE MINI,02420
NYXIE,RETRIEVER GOLDEN,02421
CECE,TERRIER RAT,02421
GARY,PEKINGESE,02420
SAMMY,RETRIEVER GOLDEN,02420
LOGAN,SPANIEL CAVALIER  KING CHARLES,02420
CASPER,BICHON FRISE,02421
KATE,RETRIEVER GOLDEN,02421
PEPPER,PORTUGUESE WATER DOG,02420
SUNDAE,HAVAPOO,02421
BOO,TERRIER BOSTON,02421
CLOVER,DACHSHUND MIX,02420
ROSIE,SHEPHERD GERMAN MIX,02420
JAKE,CORGI,02420
MOLLY,CORGI,02420
SAM,LAB/BOXER MIX,02420
WILLOW,SPANIEL BRITTANY MIX,02421
BELLA,POINTER MIX,02421
SMUDGE,COLLIE,02421
ATTILA,MASTIFF FRENCH MIX,02420
ZOE,COCKAPOO,02420
BUDI,MALTESE,02421
KODI,RETRIEVER GOLDEN,02421
TUCKER,RETRIEVER GOLDEN,02421
ZUZU,GOLDENDOODLE,02420
WOOKIE,DORKIE,02421
PIPPY,MALTESE,02420
RUDY,SHEPHERD GERMAN,02420
SCARLET,MALTIPOO,02421
FELIX,LABRADOODLE,02420
WELLINGTON,SCHNAUZER MINI,02420
KODI,RETRIEVER LABRADOR,02420
GRACIE,RETRIEVER LAB MIX,02421
TUCKER,SHIH-TZU,02421
